dataset_id,filename,original_filename,category,source_org,source_url,download_date,data_period,geographic_scope,format,description,raw_or_derived,notes
career_technology_candidates_v35,outputs/career/nursing_to_technology_candidates_v35.csv,,career,Derived from O*NET 31.0 and TaiwanJobs,https://www.onetcenter.org/database.html; https://job.taiwanjobs.gov.tw/,2026-09-01,O*NET 31.0 (2026-08) and TaiwanJobs 2026-09-01 snapshot,Taiwan career exploration with U.S. occupational reference,csv,"Nursing-to-technology candidate evidence including O*NET skill reuse, feasibility fields, and TaiwanJobs market evidence.",derived,Generated by scripts/career/build_career_transition_mvp.py; TaiwanJobs mapping and market evidence remain subject to manual review.
career_technology_training_v4,outputs/career/nursing_to_technology_training_v4.csv,,career,Derived from O*NET 31.0 TaiwanJobs and industry training courses,https://www.onetcenter.org/database.html; https://job.taiwanjobs.gov.tw/,2026-09-01,O*NET 31.0 (2026-08); TaiwanJobs and training 2026-09 snapshot,Taiwan career exploration with U.S. occupational reference,csv,"Technology candidate training coverage, course hours, estimated direct cost, and learning-burden fields.",derived,"Generated by scripts/career/build_career_transition_mvp.py; course mapping is potential coverage, not proof of skill acquisition."
career_beauty_candidates_phase5,outputs/career/nursing_to_beauty_candidates_phase5.csv,,career,Derived from O*NET 31.0 TaiwanJobs and industry training courses,https://www.onetcenter.org/database.html; https://job.taiwanjobs.gov.tw/,2026-09-01,O*NET 31.0 (2026-08); TaiwanJobs and training 2026-09 snapshot,Taiwan career exploration with U.S. occupational reference,csv,"Nursing-to-beauty candidate evidence with feasibility, TaiwanJobs QA, and training availability.",derived,Generated by scripts/career/build_nursing_to_beauty_phase5.py; no ranking or transition-success prediction.
career_training_skill_mapping_v4,data/processed/career/career_training_skill_mapping.csv,,career,Derived from O*NET 31.0 and industry training courses,https://www.onetcenter.org/database.html,2026-09-01,O*NET 31.0 (2026-08) and training 2026-09 snapshot,Taiwan course locations,csv,"Course-to-O*NET skill mapping with course provider, dates, hours, fees, and manual-review flags.",derived,Generated by scripts/career/build_career_transition_mvp.py; title-based mapping is derived evidence and not a syllabus assessment.
career_demo_job_evidence_2026-09-01,data/processed/career/demo_job_evidence.csv,,career,Derived from TaiwanJobs,https://job.taiwanjobs.gov.tw/,2026-09-06,TaiwanJobs 2026-09-01 snapshot; QA 2026-09-06,Taipei and New Taipei job listings,csv,"Job-level TaiwanJobs relevance QA used as inspectable career-entry evidence.",derived,Generated by scripts/career/build_career_transition_mvp.py; does not estimate the whole labor market or transition probability.
career_external_market_crosscheck_2026-09-06,data/processed/career/clinical_research_external_market_crosscheck.csv,,career,104 Job Bank and 1111 Job Bank,https://www.104.com.tw/; https://www.1111.com.tw/,2026-09-06,Listing dates 2026-08; manual check 2026-09-06,Taipei and New Taipei job listings,csv,"External market-existence cross-check for clinical research coordinator roles.",derived,"Manual QA provenance is retained in the dataset; no production script is currently present. External sanity check only and excluded from TaiwanJobs statistics and market score."
career_policy_lens_phase7,outputs/career/career_policy_lens_phase7.csv,,career,Derived from Phase 6 youth statistics and existing career outputs,https://www.onetcenter.org/database.html; https://job.taiwanjobs.gov.tw/,2026-09-03,"New Taipei 18–35 historical population snapshot (2020) plus national 15–29 proxy labor indicators",New Taipei City population context and national youth-worker survey,csv,"Career Policy Lens inputs for feasibility, market evidence, and potential training coverage.",derived,Generated by scripts/career/build_career_policy_lens_phase7.py; population is historical Exact 18–35 while labor and training indicators are Proxy 15–29.
career_learning_ladder_phase8,outputs/career/career_learning_ladder_phase8.csv,,career,Derived from Career Policy Lens Phase 7 and existing course mappings,https://www.onetcenter.org/database.html,2026-09-03,Existing career evidence through 2026-09-03,Taiwan career exploration,csv,"Learning-step decomposition for eligible career paths with linked training evidence.",derived,Generated by scripts/career/build_career_learning_ladder_phase8.py; not a recommendation ranking or success prediction.
career_demo_presets_2026-09-11,data/processed/career/demo_career_presets.csv,,career,Manual demo configuration from hackathon product brief,,2026-09-11,Demo preset authored 2026-09-11,Taiwan youth career exploration demo,csv,"Fixed source-occupation career exploration presets for architecture/interior design assistants and hospitality/tourism service staff.",derived,"Manual processed demo config; not generated by runtime LLM, not a transition-success prediction, and market/training evidence is marked for validation."
ntpc_moi_independent_suite_rent_benchmark_2026-03,data/processed/housing/moi_independent_suite_rent_benchmark.csv,,housing,Derived from Ministry of the Interior,https://pip.moi.gov.tw/Publicize/Info/E1080,2026-08-21,2026-03,New Taipei City 29 districts,csv,"Official independent-suite rent quartiles and median, with unit-price fields, extracted from MOI PDFs.",derived,Generated by scripts/housing/extract_moi_rent_benchmark.py from immutable MOI 2026-03 PDF source files.
livability_poi_points_800m_2026-08-22,data/processed/housing/livability_poi_points.csv,,livability,Derived from OpenStreetMap contributors via Overpass API,https://overpass-api.de/api/interpreter; https://overpass.kumi.systems/api/interpreter,2026-08-22,OSM snapshot queried on 2026-08-22,800m radius around 16 candidate living-area nodes,csv,"Representative POI points used in Housing detail maps.",derived,Generated by scripts/livability/build_livability_poi.py from immutable Overpass cache; point display is not real-time availability or a complete amenity inventory.
