district,job_postings,hiring_count,company_count,median_salary,top_job_category,rental_count,median_rent,average_rent,median_rent_per_area,youth_20_34,estimated_youth_18_35,youth_statistical_area_count,youth_data_period,opportunity_housing_type,district_diagnosis,diagnosis_summary,policy_check,diagnosis_evidence,diagnosis_evidence_level
土城區,263,875,109,34314.0,品管／製造／環衛,2278.0,22000.0,22626.807287093943,239.7276743273166,47162,54748,82,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約54,748人（推估）；公開求才875人；租金中位數NT$22,000；租賃登錄2,278件",較高
蘆洲區,63,267,40,34500.0,醫療／美容／保健,1640.0,23000.0,23099.826219512193,241.86332034205606,40560,47070,62,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約47,070人（推估）；公開求才267人；租金中位數NT$23,000；租賃登錄1,640件",較高
五股區,95,422,77,34575.0,技術／維修／操作,2009.0,19400.0,19856.59532105525,178.37677138043802,19966,23009,28,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約23,009人（推估）；公開求才422人；租金中位數NT$19,400；租賃登錄2,009件",較高
泰山區,60,238,39,35000.0,技術／維修／操作,984.0,20000.0,20089.619918699187,209.0563868945703,14675,17315,28,113Y12M,高負擔低機會型,高負擔資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較高。,追查租賃樣本結構、特殊高租金案件，以及青年服務可及性。,"設籍青年約17,315人（推估）；公開求才238人；租金中位數NT$20,000；租賃登錄984件",較高
林口區,184,668,107,35350.0,技術／維修／操作,1187.0,24500.0,29354.183656276327,228.78932316491895,23434,28026,29,113Y12M,高機會高負擔型,青年集中高負擔型,設籍青年與公開求才皆相對較多，但租金中位數也相對較高。,追查青年租金負擔、租屋補助觸及及鄰近可負擔居住選項。,"設籍青年約28,026人（推估）；公開求才668人；租金中位數NT$24,500；租賃登錄1,187件",較高
深坑區,25,94,15,35000.0,旅遊／餐飲／休閒,92.0,15000.0,17356.641304347828,180.27490162735015,4878,5522,8,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約5,522人（推估）；公開求才94人；租金中位數NT$15,000；租賃登錄92件",有限
石碇區,4,14,3,32425.0,旅遊／餐飲／休閒,2.0,17500.0,17500.0,345.7086755204118,1213,1384,6,113Y12M,高負擔低機會型,高負擔資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較高。,追查租賃樣本結構、特殊高租金案件，以及青年服務可及性。,"設籍青年約1,384人（推估）；公開求才14人；租金中位數NT$17,500；租賃登錄2件",不足
坪林區,4,11,3,38000.0,技術／維修／操作,,,,,1022,1150,3,113Y12M,,資料待補型,青年人口、公開求才或租金資料不足，無法完成三維相對診斷。,先補足或核對資料，再進行政策判讀；資料不足不代表沒有需求。,"設籍青年約1,150人（推估）；公開求才11人；租金資料不足；租賃登錄不足",不足
三芝區,22,59,14,34666.5,醫療／美容／保健,446.0,8000.0,8995.618834080717,132.43279035889285,4199,4756,7,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約4,756人（推估）；公開求才59人；租金中位數NT$8,000；租賃登錄446件",較高
石門區,11,24,7,33500.0,旅遊／餐飲／休閒,2.0,8500.0,8500.0,67.76654126640625,2060,2338,4,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約2,338人（推估）；公開求才24人；租金中位數NT$8,500；租賃登錄2件",不足
八里區,77,391,39,35000.0,技術／維修／操作,701.0,15800.0,17040.082738944366,141.49538278224605,8504,9723,14,113Y12M,就業安居平衡型,就業吸引潛力型,公開求才相對較多、租金中位數相對較低，但設籍青年規模相對較小。,追查職缺品質、青年移居意願，以及生活與交通條件是否形成落腳門檻。,"設籍青年約9,723人（推估）；公開求才391人；租金中位數NT$15,800；租賃登錄701件",較高
平溪區,2,5,2,35000.0,農林漁牧相關,,,,,486,561,2,113Y12M,,資料待補型,青年人口、公開求才或租金資料不足，無法完成三維相對診斷。,先補足或核對資料，再進行政策判讀；資料不足不代表沒有需求。,設籍青年約561人（推估）；公開求才5人；租金資料不足；租賃登錄不足,不足
雙溪區,4,7,4,33500.0,醫療／美容／保健,1.0,5000.0,5000.0,63.77551020408163,1085,1246,3,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約1,246人（推估）；公開求才7人；租金中位數NT$5,000；租賃登錄1件",不足
貢寮區,10,25,6,34375.0,旅遊／餐飲／休閒,2.0,9000.0,9000.0,74.42937479325174,1624,1838,5,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約1,838人（推估）；公開求才25人；租金中位數NT$9,000；租賃登錄2件",不足
金山區,45,144,20,34000.0,醫療／美容／保健,54.0,12000.0,12583.333333333334,117.62399529504019,3872,4407,7,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約4,407人（推估）；公開求才144人；租金中位數NT$12,000；租賃登錄54件",有限
萬里區,40,94,19,34000.0,旅遊／餐飲／休閒,104.0,8500.0,8305.403846153846,144.97139369109325,3568,4105,8,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約4,105人（推估）；公開求才94人；租金中位數NT$8,500；租賃登錄104件",較高
烏來區,20,61,7,34500.0,旅遊／餐飲／休閒,2.0,7850.0,7850.0,373.89350836557253,1271,1483,2,113Y12M,低成本低機會型,低成本資源待查型,設籍青年與公開求才皆相對較少，租金中位數相對較低。,追查交通可及性、基本青年服務覆蓋與在地產業發展條件。,"設籍青年約1,483人（推估）；公開求才61人；租金中位數NT$7,850；租賃登錄2件",不足
