OCCU_DESC,WK_TYPE,CJOB1_COUNT,CJOB_NAME1,CJOB2_COUNT,CJOB_NAME2,JOB_PERSON,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,NT_L,NT_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE,district,zipcode
居服員(新北市)<符合照服員就業獎勵>,兼職,17,醫療／美容／保健,170113,照顧服務員,5,20260920,"依督導派案至長期照顧需求者家中提供居家照顧服務。
(依個案需求提供服務) 如，
基本身體清潔(床上洗頭、擦澡、穿脫衣物)、
日常生活照顧(穿脫衣物、盥洗、協助用藥、床鋪整理、移位)、
測量生命徵象、協助進食或管灌餵食、備置餐點、協助沐浴及洗頭、翻身拍背、肢體關節活動、協助上下樓、
陪同外出(復健、散步、洗腎)、
陪同就醫、協助基本家務清潔、代購或代領代送、提供在家陪伴、安全看視等服務。

工作地點:合力旺健康事業股份有限公司附設新北市私立合力旺居家長照機構
   新北市瑞芳區、汐止區、萬里區(公司會依個人意願派案)


",新北市萬里區,無,日班、部份工時：時分至時分,時薪,210,480,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2514859&HIRE_ID=14615633,合力旺健康事業股份有限公司附設新北市私立合力旺居家長照機構,20260821,萬里區,207
假日兼職人員(房務),全職,16,旅遊／餐飲／休閒,160105,房務員,2,20261004,"完成清房整房事宜，無不良嗜好，有相關經驗者佳
意者請先電洽預約面試24983588分機1113林小姐",新北市萬里區,無,,時薪,210,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=864402&HIRE_ID=14570697,金湧泉旅館股份有限公司,20260804,萬里區,207
 副主廚/主廚,全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,1,20261003,"1.菜單開立(中餐為主、西餐為輔)、採買、烹飪、餐點準備、桌椅擺設等相關之廚務工作。
2.協助農作物採收、理貨、包裝等作業。
3.協助園區任務分配之工作(園區活動支援：餐點準備、整理現場、溯溪、樹攀、垂降…等)。
4.其它主管交辦事項。
意者請先Email:  maggie.chang@mail.lanew.com.tw張小姐",新北市萬里區,3年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=13429&HIRE_ID=14565285,老牛皮國際股份有限公司,20260803,萬里區,207
研發工程師,全職,07,工程／研發／生技,070216,機械工程師,1,20261011,"1.使用2D/3D繪圖工具、模擬軟體輔助，進行鍛件研發設計 (汽機車、自行車、五金、設備相關零件等)。
2.執行製程規劃、產品規格、規範、客戶需求等，可行性評估作業。
3.試模參與、檢討及改善工作。
4.執行TS-16949、ISO 9001系統內容作業。
5.工作經歷2年以上者佳。
其他條件
1.通勤距離過遠之同仁, 公司免費提供員工宿舍(一人一房, 包含冷氣, 網路及有線電視)。
意者請先電洽預約面試02-24925366分機603許瑀婕小姐
",新北市萬里區,2年以上,日班,月薪,30000,45000,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89038&HIRE_ID=14588925,金鍛工業股份有限公司,20260811,萬里區,207
研發繪圖工程師,全職,07,工程／研發／生技,070216,機械工程師,2,20261011,"研發繪圖工程師
1.圖工具或電腦輔助設計（CAD）或3D繪圖Simulation、模擬軟體，設計新研發鍛件。 
2.研究、設計、評估、安裝、操作及維護機械產品、設備、系統與程序，以符合要求。 
3.執行機械相關研發工作（如：汽車鍛件2D、3D繪圖、HUB產品製程設計等）。 
4.研究和分析客戶設計規劃、產品規格、說明書等資料，以評估可行性、費用及維修需求。
5.英文多益成績600分以上者佳。
其他條件：
1.大學以上相關科系畢業無經驗可。 
2.願意接受公司培訓。 
3.具備3D繪圖能力者佳。 
4.熟悉各項繪圖軟體應用。 
5.有模具製圖經驗者佳。 
6..通勤距離過遠之同仁, 公司免費提供員工宿舍(一人一房, 包含冷氣, 網路及有線電視)。
意者請先電洽預約面試02-24925366分機603許瑀婕小姐
",新北市萬里區,1年以上,日班,月薪,30000,45000,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89038&HIRE_ID=14588845,金鍛工業股份有限公司,20260811,萬里區,207
公清人員(兼職),全職,16,旅遊／餐飲／休閒,160208,廚務清潔員,1,20260907,"1.負責園區辦公室與公共空間的日常清潔維護（如掃地、拖地、擦拭桌椅、垃圾分類等）。
2.食材備料與簡單烹調（如洗菜、切菜、煮飯等）。
3.餐具、器具清洗與廚房環境維護。
4.菇類包裝作業。
5.其它農作物採收、理貨、包裝等作業。
6.園區活動支援(活動前桌椅擺設、餐點準備等)。
7.其它主管交辦事項。
 意者請先Email:  maggie.chang@mail.lanew.com.tw張小姐",新北市萬里區,無,日班,時薪,210,210,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=13429&HIRE_ID=14504553,老牛皮國際股份有限公司,20260707,萬里區,207
電廠設備維護工作,全職,10,技術／維修／操作,100390,其它機械操作員,3,20261231,"主要為電廠機組設備維護更新等
包含閥類檢修/儀器校正/加熱器維護/管路配置/其他等
主要工作地點為新北市萬里區",新北市萬里區,無,日班,日薪,2000,3000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89359&HIRE_ID=13938209,聖騏機械工程有限公司,20260630,萬里區,207
合興168號漁工,全職,20,農林漁牧相關,200301,遠洋漁業工,24,20260827,捕魚 (工作時間配合漁船),新北市萬里區,無,日班、夜班、中班,月薪,31400,31400,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=267132&HIRE_ID=14610539,合興168號,20260819,萬里區,207
餐廳計時服務人員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,3,20260923,"1. 提供專業且親切的接待與座位安排，確保顧客擁有良好的第一印象。
2. 為顧客詳細介紹與推薦餐廳菜單及特殊餐點選擇，滿足顧客預期需求。
3. 負責上菜及用餐過程的全程服務，包括協助顧客的餐桌需求。
4. 飲食區域的清理與整理，確保整個環境整潔且安全。
5. 快速準確地處理顧客的點餐，並將訂單準確傳遞給廚房。
6. 協助處理結帳程序，包括現金支付及電子支付等操作。
7. 主動觀察並即時回應顧客的需求或反饋。
8. 維護餐飲器具與設備，確保餐廳運作過程中的工具完好無誤。
意者請先電洽24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐
",新北市萬里區,無,日班、中班,時薪,200,230,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544449,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
休閒服務人員,全職,16,旅遊／餐飲／休閒,160205,飯店工作人員,2,20260923,"1. 規劃充滿趣味的休閒活動，提出精彩提案
2. 熱情迎接每位客人，用微笑創造第一印象
3. 推動兒童專屬活動，把每一天變成小朋友的快樂冒險
4. 帶領休閒活動，並確保服務站運作順暢
5. 教客人操作設施，讓每段體驗輕鬆愉快
6. 維護管理活動器材，確保品質安全
意者請先電洽24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐
",新北市萬里區,無,日班、中班,月薪,30000,-,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544259,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
櫃檯服務人員,全職,16,旅遊／餐飲／休閒,160104,櫃檯服務人員,3,20261017,"1. 辦理旅客住房，退房，接待事務及結帳作業。
2. 具服務熱忱，合作精神，協調力，能與團隊成員合作達成任務。
3. 維護顧客關係，處理客人抱怨。
4. 提供當地旅遊諮詢。
5. 迎賓，大廳接待。
6.主管交辦事項。
意者請先Email: hr-gb@fortehotels.com.tw或傳真履歷表02-24926599林副主任",新北市萬里區,1年以上,日班、夜班、輪班三班制、中班,月薪,32000,34000,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2415679&HIRE_ID=14602219,福泰國際旅館管理顧問股份有限公司-翡翠分公司 ,20260817,萬里區,207
教保員,全職,14,教育／學術／研究,140121,教保員,1,20260903,"1.幼兒教學與照顧。
2.親師溝通相關事宜/班級經營。
3.協助園務活動。
意者請先電洽預約面試0932022177、02-24924742祝老師",新北市萬里區,無,日班,月薪,34200,-,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=611648&HIRE_ID=14493713,新北市私立天心幼兒園,20260709,萬里區,207
餐廳服務員,全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,1,20260908,"1.跑單、擺盤、送餐及聯繫內外場工作。
2.負責客人帶位、倒水、點餐等工作。
3.客人用餐完畢後，收拾碗盤與清理環境。
4.負責結帳、收銀之工作。
5. 主管交辦事項。
意者請先Emai:i:hr-gb@fortehotels.com.tw:或傳真履歷表02-24926599林副主任",新北市萬里區,無,輪班三班制,月薪,30000,32000,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2415679&HIRE_ID=14509185,福泰國際旅館管理顧問股份有限公司-翡翠分公司 ,20260708,萬里區,207
現場作業員,全職,09,品管／製造／環衛,090215,機械組裝工,1,20261011,"1.現場作業員。
2.生產產品均為鐵製品(汽機車零件原材料)。
3.依身心障礙者權益保障法第38條進用名額
意者請先電洽預約面試24925366分機603許小姐",新北市萬里區,無,日班,月薪,29590,33000,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89038&HIRE_ID=14588725,金鍛工業股份有限公司,20260811,萬里區,207
行銷美編人員,全職,21,行銷／企劃／專案,210104,產品行銷企劃人員,1,20260831,"從事版面之規畫設計與美術加工。
負責為產品擬定行銷策略、訂價策略、促銷計劃、撰寫行銷方案等工作。
經營FB粉絲團、IG或LINE官方帳號。",新北市萬里區,1年內,日班,月薪,32000,34000,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2438825&HIRE_ID=14536105,沐舍時尚酒店股份有限公司,20260720,萬里區,207
早餐西餐廚師,全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,1,20260923,"1. 準備於營業時間內的點菜或宴會所需菜餚。。
2. 協助所負責各自類別的菜單。
3. 確保所負責類別的食品均符合衛生管理的規定。進行廚房內的衛生管理工作。
4. 維持與確保冷凍庫及其它地區的衛生及清潔標準。
5. 需有西餐丙級技術士及廚師證。
意者請先電洽預約面試24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐",新北市萬里區,2年以上,日班、中班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),-,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544309,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
設備維修技術員,全職,10,技術／維修／操作,100290,其他產品維修人員,1,20261011,"1.傳統產業工務。
2.機器設備維修。
3.熟悉沖床、油壓機等設備構造。
4.會傳統車床操作(車製簡單零件)優先。
5.依身心障礙者權益保障法第38條進用名額
其他條件
1.俱乙級或丙級室內配線技術士佳。
2.俱基本圖能力。
意者請先電洽預約面試02-24925366分機603許小姐",新北市萬里區,1年以上,日班,月薪,35000,50000,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89038&HIRE_ID=14588827,金鍛工業股份有限公司,20260811,萬里區,207
CNC車床操作人員,全職,10,技術／維修／操作,100114,CNC車床技術人員,2,20261011,"1.CNC車床操作人員。
2.相關工作經歷1年以上者佳。
通勤距離過遠之同仁, 公司免費提供員工宿舍(一人一房, 包含冷氣, 網路及有線電視)。
意者請先電洽預約面試02-24925366分機603許小姐",新北市萬里區,1年以上,日班,月薪,30000,45000,高職,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=89038&HIRE_ID=14588887,金鍛工業股份有限公司,20260811,萬里區,207
日夜班保全,全職,18,保全／軍警消,180101,保全人員,2,20260915,"1.巡邏建築物與周遭環境，留意可疑線索，確保門窗安全。
2.回應警報器並且調查引起警鈴的原因。
3.保護被保全之人或物的安全。
4.由監看出入份子，以確保建築物安全。
5.給予意圖不良人士或入侵者警告。
6.提供客戶全方位的大樓綜合管理服務。
意者請先電洽預約面試02-24683456分機15賴小姐",新北市萬里區,無,日班、夜班,月薪,33000,35000,國中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=768103&HIRE_ID=14523761,亞太國際公寓大廈管理維護股份有限公司,20260715,萬里區,207
房務清潔人員,全職,16,旅遊／餐飲／休閒,160105,房務員,3,20260923,"1. 負責飯店客房的全面清潔與整理，包括床鋪更換、家具擦拭以及地板清潔，確保客房狀態符合高標準。
2. 定期檢查並補充房內的衛浴用品及客用品，如毛巾及備品，保持齊全與整潔。
3. 執行深度清潔項目，例如地毯清潔、窗戶擦拭及空調過濾器清理，維持房間最佳狀態。
4. 協助廠商執行房間消毒作業，確保符合環境安全標準。
5. 清潔酒店公共區域，如走廊、電梯與大廳，提供良好的公共環境。
6. 歸整工作車與備品間，確保清潔用品與設備的管理與使用條理分明。
7. 快速回應並處理客房相關的客人需求和問題，提供友善服務。
8. 配合飯店輪值早晚班與工作安排，保持工作的靈活性及高效率。
9. 完成主管交辦的其他相關事項，協助團隊達成營運目標。
意者請先電洽24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐",新北市萬里區,無,日班、中班,月薪,29500,32000,國小,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544389,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
早廚人員,全職,16,旅遊／餐飲／休閒,160202,中/西餐烹飪廚師,1,20261004,"煮簡單的早餐，一般家常菜色。
意者請先電洽預約面試24983588分機1113林小姐",新北市萬里區,無,日班,時薪,200,200,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=864402&HIRE_ID=14570517,金湧泉旅館股份有限公司,20260804,萬里區,207
SPA會館櫃檯服務人員,全職,16,旅遊／餐飲／休閒,160104,櫃檯服務人員,1,20261003,"1.電話接聽&訂房事宜
2.售票作業&入住辦理
3.內部連繫&泳裝飲料販售
4.遺失物處理&各部門交代事務等
意者請先電洽預約面試24983588分機1113或傳真履歷表等候通知面試24989699林小姐",新北市萬里區,1年以上,日班、中班,月薪,30000,33000,高中,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=864402&HIRE_ID=14570317,金湧泉旅館股份有限公司,20260804,萬里區,207
教師,全職,14,教育／學術／研究,140102,幼教老師,1,20260909,"1.具備有幼兒園教師資格
1.幼兒教學與照顧。
2.親師溝通相關事宜/班級經營。
3.協助園務活動。
意者請先電洽預約面試0932022177、02-24924742祝老師",新北市萬里區,無,日班,月薪,35200,-,大學,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=611648&HIRE_ID=14510391,新北市私立天心幼兒園,20260709,萬里區,207
照顧服務員,全職,17,醫療／美容／保健,170113,照顧服務員,4,20260901,"1.活動帶領與協助
2.日常生活復健活動
3.協助病患身體照顧
4.維持活動區域環境清潔
5.臨時交辦事務

工作時間：08:00~17:00 或 08:30~17:30

※職缺符合【照服員就業獎勵】，請攜帶身份證、照顧服務員結業證書或證照及長照小卡先至公立就業服務機構諮詢評估
",新北市萬里區,無,日班,月薪,32000,32000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406763&HIRE_ID=14486723,錸工場股份有限公司,20260701,萬里區,207
西點蛋糕師傅,全職,16,旅遊／餐飲／休閒,160203,西點、麵包烘焙人員,1,20260923,"1. 負責製作各類高品質西點、蛋糕及甜點，包括麵包、巧克力與糖藝製品，確保每項出品均形美味佳。
2. 嚴格按照烘焙工藝流程操作，確保食品衛生安全、營養均衡，並遵守食品安全與衛生法規。
3. 維護與操作各類烘焙設備，定期檢查設備狀況，確保運作順暢且高效。
4. 管理日常食材庫存，進行食材成本控制與採購計劃，避免浪費並維持食材品質。
5. 運用創意進行甜點菜單設計，配合季節及客人需求開發新產品，提升顧客滿意度。
6. 與團隊協作，分工完成日常烘焙任務，參與部門內部交流與實作指導，確保餐飲出品的一致性與精緻度。
7. 定期參與內部品質檢視與改進會議，提出並實行改良建議，推動產品創新與技能提升。
8. 完成主管交辦的其他工作內容，協助確保烘焙工作的高效運營。
意者請先電洽預約面試24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐",新北市萬里區,無,日班、中班,月薪,36000,45000,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544399,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
【仁愛之家-養護區】照顧服務員,全職,17,醫療／美容／保健,170113,照顧服務員,3,20260930,"1.【仁愛之家-養護區】長期照顧服務員。須有照顧服務員證照。
2.提供住宿-月扣金額700元(不含水電費)。
*勞健保、勞退、在職教育訓練補助、年度健檢補助、年度工作獎金。
意者請先電洽預約面試02-24922511分機703何護理長
",新北市萬里區,無,輪班二班制,月薪,42500,42500,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=96375&HIRE_ID=14560101,新北市立仁愛之家,20260730,萬里區,207
餐飲部洗滌計時人員,全職,16,旅遊／餐飲／休閒,160208,廚務清潔員,2,20260923,"1. 負責清洗和整理餐具及廚具，遵守食品安全與衛生規範，確保高度清潔標準。
2. 操作與維護洗碗機及相關清潔設備，確保設備順暢運行並嚴格遵守操作規程。
3. 定期檢查清潔設備與工具的運行狀態，並及時向主管報告異常或維修需求。
4. 確保廚房及相關工作區域的環境整潔，協助保持整體運作效率。
5. 妥善分類處理廢棄物和回收，符合環保及衛生要求。
6. 優化餐飲部的清潔流程，參與高峰期的工作支援以維持順暢運作。
意者請先電洽預約面試24925511分機6811或Email:hr@ctgreenbay.com.tw 管理部林小姐
",新北市萬里區,無,日班、中班,時薪,200,250,國小,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2406421&HIRE_ID=14544253,群策資產管理股份有限公司萬里分公司,20260723,萬里區,207
家庭幫傭,全職,19,清潔／家事／托育(保母),190201,家事服務員/家庭清潔人員,1,20260901,在家庭，從事房舍清理、食物烹調、家庭成員起居照料或其他與家事服務有關工作,新北市萬里區,無,日班,月薪,34500,34500,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2697191&HIRE_ID=14617361,洪先生,20260824,萬里區,207
房務員(兼職人員),全職,16,旅遊／餐飲／休閒,160105,房務員,1,20260930,"長期假日兼職
*可彈性固定時段或面議詳談
1.客房清潔服務
2.主管交辦事項

＊意者請洽(02)2498-8788洪小姐預約面試時間",新北市萬里區,無,日班、夜班,時薪,200,-,不拘,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=478095&HIRE_ID=14563395,金湯育樂有限公司,20260731,萬里區,207
總務室工務 助理技術師,全職,17,醫療／美容／保健,170190,其他醫院從業人員,1,20261231,"1.本院空調系統維護、委外保養、節能計畫及緊急維修事宜。
2.本院氣體設備維護及委外保養及緊急維修事宜。
3.一般工務修繕(本院建築物門窗、油漆、電動鐵門維修及水、電維護事宜、緊急應變)及設備緊急狀況處置。
4.八大系統例行性巡檢及檢修保養及其他長官交辦事項。",新北市金山區,無,輪班二班制、輪班三班制,月薪,35060,35060,專科,https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1003336&HIRE_ID=14614623,國立臺灣大學醫院附設醫院金山分院,20260821,金山區,208
