onet_occupation_code,onet_occupation,taiwanjobs_occupation,matched_titles,mapping_method,mapping_score,mapping_confidence,manual_review_needed,mapping_review_reason,mapping_keywords,matched_job_count,total_demand_persons,salary_lower_median,salary_upper_median,salary_basis,education_requirement_distribution,experience_requirement_distribution,main_job_locations
29-1229.04,Physical Medicine and Rehabilitation Physicians,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1229.06,Sports Medicine Physicians,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1214.00,Emergency Medicine Physicians,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1241.00,"Ophthalmologists, Except Pediatric",中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1229.02,Hospitalists,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1217.00,Neurologists,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1218.00,Obstetricians and Gynecologists,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1216.00,General Internal Medicine Physicians,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1299.01,Naturopathic Physicians,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1215.00,Family Medicine Physicians,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1229.05,Preventive Medicine Physicians,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1222.00,"Physicians, Pathologists",中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
29-1211.00,Anesthesiologists,中醫師,醫師,deterministic_keyword_field_weight_v1,1.0,Medium,yes,Specialist physician titles may map only to generic physician postings in this sample.,醫師; 醫療; 診所; 看診; 病患,1,2,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:1,無:1,台北市萬華區:1
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",護理師/護士,A013 護理人員,deterministic_keyword_field_weight_v1,0.64,Medium,yes,Nursing instructor demand may be listed under schools or hospitals with inconsistent titles.,護理講師; 護理教師; 護理師資; 護理; 教師; 講師; 教學; 教育,1,1,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:1,1年以上:1,台北市內湖區:1
29-9091.00,Athletic Trainers,運動教練; 飯店工作人員,Fit Plant 植健身 私人教練暨客務服務專員 (中山店); 健身俱樂部服務員 - Health Club Agent; 台北南京松江館／皮拉提斯老師,deterministic_keyword_field_weight_v1,0.54,Medium,yes,Athletic Trainer is a US-specific credential; TaiwanJobs matches may be sports/fitness rather than clinical athletic training.,運動防護; 防護員; 運動防護員; 運動; 健身; 教練; 復健; 健康促進,3,14,30000,33000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:1; 高職:1; 高中:1,無:3,台北市中山區:3
29-1128.00,Exercise Physiologists,運動教練; 飯店工作人員,Fit Plant 植健身 私人教練暨客務服務專員 (中山店); 健身俱樂部服務員 - Health Club Agent; 台北南京松江館／皮拉提斯老師,deterministic_keyword_field_weight_v1,0.54,Medium,yes,Exercise Physiologist does not appear as a stable TaiwanJobs occupation title in this sample.,運動生理; 運動生理學; 運動; 健身; 體適能; 教練; 健康促進; 復健,3,14,30000,33000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:1; 高職:1; 高中:1,無:3,台北市中山區:3
29-1161.00,Nurse Midwives,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,,助產; 助產師; 產房; 婦產; 孕; 生產; 護理,0,0,,,monthly_only_no_matched_monthly_salary,,,
29-9099.01,Midwives,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,,助產; 助產師; 產房; 婦產; 孕; 生產; 護理,0,0,,,monthly_only_no_matched_monthly_salary,,,
29-1071.00,Physician Assistants,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,Physician Assistant is not a direct Taiwan occupation equivalent; manual review required.,醫師助理; 專科護理師; 醫師; 診所; 醫療; 護理,0,0,,,monthly_only_no_matched_monthly_salary,,,
29-2043.00,Paramedics,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,,救護技術員; 救護員; EMT; 急救; 救護; 消防; 緊急醫療,0,0,,,monthly_only_no_matched_monthly_salary,,,
29-1123.00,Physical Therapists,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,,物理治療師; 物理治療; 復健; 治療; 運動治療,0,0,,,monthly_only_no_matched_monthly_salary,,,
19-3039.02,Neuropsychologists,,,deterministic_keyword_field_weight_v1,0.0,Unmatched,yes,,神經心理; 臨床心理師; 心理師; 心理; 諮商; 治療,0,0,,,monthly_only_no_matched_monthly_salary,,,
