target_domain_evidence_rank,candidate_generation_rank,source_occupation_code,source_occupation_name,target_domain,target_occupation_code,target_occupation_name,target_occupation_description,candidate_generation_method,target_domain_primary_signal,target_domain_retrieval_score,target_domain_strong_hits,target_domain_technology_hits,target_domain_healthcare_hits,target_domain_concept_tags,candidate_generation_evidence,skill_similarity,transferable_skill_coverage,target_skill_gap,target_domain_technology_coverage,target_domain_technology_gap,transition_span,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,target_master_plus_share,target_doctoral_professional_share,education_barrier,education_barrier_notes,training_experience_barrier,training_experience_barrier_notes,credential_barrier,professional_certification_importance,same_major_group,same_occupation_family,onet_related_support,taxonomy_distance_level,taiwanjobs_occupation,matched_titles,mapping_method,mapping_score,mapping_confidence,manual_review_needed,matched_job_count,total_demand_persons,salary_lower_median,salary_upper_median,salary_basis,education_requirement_distribution,experience_requirement_distribution,main_job_locations,market_validation,shared_top_skills,missing_skills,mobility_value_signal,feasibility_flag,feasibility_level,feasibility_notes,hidden_path_candidate
11,18,29-1141.00,Registered Nurses,Technology / AI,15-1241.00,Computer Network Architects,"Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,68.0,,analysis; computer; data; information; network; product; programming; security; software; systems; technologies; technology; web,,software_application; technology_support; core_technology,"title: strong=; tech=computer,network; health= | description: strong=; tech=analysis,computer,data,information,network,security; health= | tasks: strong=; tech=computer,data,information,network,security,software; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health= | software: strong=; tech=analysis,computer,data,network,programming,security; health=",0.943629,0.854884,0.522222,0.642769,1.309091,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,5.0,0.0,low,no major upward education signal,medium,related work experience +2.6 categories,low,3.55,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Critical Thinking (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); English Language (knowledge: 3.80); Active Listening (essential_skill: 3.75); Judgment and Decision Making (transferable_skill: 3.75); Writing (essential_skill: 3.62); Coordination (transferable_skill: 3.50); Complex Problem Solving (transferable_skill: 3.50),"Engineering and Technology (knowledge: target 4.25, RN 1.51); Programming (transferable_skill: target 3.88, RN 1.62); Computers and Electronics (knowledge: target 4.68, RN 2.59); Telecommunications (knowledge: target 4.25, RN 2.21)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
12,19,29-1141.00,Registered Nurses,Technology / AI,15-1253.00,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,66.5,database; software developer; technical support,algorithm; analysis; computer; data; database; information; network; product; programming; security; software; support; systems; technology; web,,software_application; ai_data; technology_support; core_technology,"title: strong=; tech=software; health= | description: strong=database; tech=data,database,software,web,product; health= | tasks: strong=software developer,database,technical support; tech=data,database,network,software,systems,product; health= | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health= | software: strong=; tech=algorithm,data,information,network,programming,security; health=",0.950895,0.857607,0.491381,0.695338,1.031111,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,2.94,0.0,low,no major upward education signal,low,no major upward training/experience signal,low,2.85,no,no,no,Distant category,MIS程式設計師; 軟體相關專案管理師; 通訊系統工程師; 助理工程師; 其他資訊專業人員; 軟(韌)體設計工程師,MIS-ERP軟體工程師(A); 業務部專案; 助理解決方案架構師 (SA); 資訊處-程式設計師; 【無塵室自動化事業部】軟體技術支援助理工程師(台北)■無經驗可(此為現場徵才活動職缺); 程式語言講師; 網頁工程師; MIS程式設計師-台北市,deterministic_keyword_field_weight_v1,1.0,High,no,55,105,35000,40000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:23; 大學:17; 高職:7; 高中:6; 碩士:1; 不拘:1,無:30; 1年以上:12; 2年以上:8; 3年以上:2; 5年以上:2; 4年以上:1,台北市內湖區:12; 台北市大安區:11; 台北市信義區:9; 台北市中正區:4; 台北市不限:4; 台北市北投區:3; 台北市松山區:3; 台北市中山區:3,Strong,Reading Comprehension (essential_skill: 3.88); Critical Thinking (essential_skill: 3.88); Active Listening (essential_skill: 3.88); Speaking (essential_skill: 3.88); English Language (knowledge: 3.79); Writing (essential_skill: 3.75); Monitoring (essential_skill: 3.62); Complex Problem Solving (transferable_skill: 3.38),"Programming (transferable_skill: target 3.62, RN 1.62); Computers and Electronics (knowledge: target 4.41, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
13,20,29-1141.00,Registered Nurses,Technology / AI,15-1254.00,Web Developers,"Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is properly structured, meets industry standards, and is compatible with browsers and devices. Optimize website performance, scalability, and server-side code and processes. May develop website infrastructure and integrate websites with other computer applications.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,64.6,database,analysis; computer; data; database; digital; network; product; programming; security; software; support; systems; technologies; web,device,software_application; technology_support; core_technology,"title: strong=; tech=web; health= | description: strong=database; tech=computer,data,database,web; health=device | tasks: strong=database; tech=data,database,digital,network,programming,security; health=device | skill_knowledge: strong=; tech=analysis,computer,programming,systems; health= | software: strong=; tech=data,network,programming,software,web; health=",0.948723,0.883968,0.405833,0.720704,1.005,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,Bachelor's Degree,0.0,0.0,low,no major upward education signal,low,no major upward training/experience signal,low,2.38,no,no,no,Distant category,MIS程式設計師; 軟體相關專案管理師; 通訊系統工程師; 助理工程師; 其他資訊專業人員; 軟(韌)體設計工程師,MIS-ERP軟體工程師(A); 業務部專案; 助理解決方案架構師 (SA); 資訊處-程式設計師; 【無塵室自動化事業部】軟體技術支援助理工程師(台北)■無經驗可(此為現場徵才活動職缺); 程式語言講師; 網頁工程師; MIS程式設計師-台北市,deterministic_keyword_field_weight_v1,1.0,High,no,55,105,35000,40000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:23; 大學:17; 高職:7; 高中:6; 碩士:1; 不拘:1,無:30; 1年以上:12; 2年以上:8; 3年以上:2; 5年以上:2; 4年以上:1,台北市內湖區:12; 台北市大安區:11; 台北市信義區:9; 台北市中正區:4; 台北市不限:4; 台北市北投區:3; 台北市松山區:3; 台北市中山區:3,Strong,Critical Thinking (essential_skill: 3.75); Reading Comprehension (essential_skill: 3.62); English Language (knowledge: 3.54); Complex Problem Solving (transferable_skill: 3.50); Active Listening (essential_skill: 3.50); Active Learning (essential_skill: 3.50); Judgment and Decision Making (transferable_skill: 3.38); Mathematics (knowledge: 3.35),"Programming (transferable_skill: target 4.12, RN 1.62); Computers and Electronics (knowledge: target 4.38, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
14,23,29-1141.00,Registered Nurses,Technology / AI,15-1231.00,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,62.0,database,analysis; computer; data; database; information; network; product; security; software; support; systems; technologies; technology; web,,software_application; technology_support; core_technology,"title: strong=; tech=computer,network,support; health= | description: strong=; tech=data,network,systems; health= | tasks: strong=; tech=computer,data,information,network,security,software; health= | skill_knowledge: strong=; tech=analysis,computer,systems,technology; health= | software: strong=database; tech=data,database,information,network,security,software; health=",0.940121,0.890907,0.389206,0.663394,1.2,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,1.53,0.0,low,no major upward education signal,medium,related work experience +1.8 categories,low,,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Critical Thinking (essential_skill: 3.75); Active Listening (essential_skill: 3.50); Customer and Personal Service (knowledge: 3.45); Reading Comprehension (essential_skill: 3.38); Judgment and Decision Making (transferable_skill: 3.38); English Language (knowledge: 3.31); Active Learning (essential_skill: 3.25); Complex Problem Solving (transferable_skill: 3.25),"Computers and Electronics (knowledge: target 4.96, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
15,25,29-1141.00,Registered Nurses,Technology / AI,15-1212.00,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies. May ensure appropriate security controls are in place that will safeguard digital files and vital electronic infrastructure. May respond to computer security breaches and viruses.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,58.5,,analysis; computer; data; digital; information; network; programming; security; software; systems; technology; web,,software_application; technology_support; core_technology,"title: strong=; tech=information,security; health= | description: strong=; tech=computer,digital,information,network,security; health= | tasks: strong=; tech=computer,data,digital,information,network,programming; health= | skill_knowledge: strong=; tech=analysis,computer,security,systems,technology; health= | software: strong=; tech=analysis,data,network,programming,security,software; health=",0.957355,0.921324,0.284881,0.722989,0.97,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,2.8,0.0,low,no major upward education signal,medium,related work experience +2.8 categories,low,,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,English Language (knowledge: 4.18); Critical Thinking (essential_skill: 3.88); Reading Comprehension (essential_skill: 3.88); Active Listening (essential_skill: 3.75); Speaking (essential_skill: 3.62); Complex Problem Solving (transferable_skill: 3.50); Writing (essential_skill: 3.50); Customer and Personal Service (knowledge: 3.42),"Engineering and Technology (knowledge: target 3.64, RN 1.51); Computers and Electronics (knowledge: target 4.35, RN 2.59); Telecommunications (knowledge: target 3.64, RN 2.21)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
16,26,29-1141.00,Registered Nurses,Technology / AI,31-9092.00,Medical Assistants,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician.",deterministic_onet_target_domain_keyword_retrieval_v1,explicit_health_technology,58.0,database; electronic medical; medical records,computer; data; database; information; security; software; statistics; systems; web,clinical; health; healthcare; medical; medicine; patient; records,clinical_health_informatics; health_data; software_application,"title: strong=; tech=; health=medical | description: strong=medical records; tech=information; health=clinical,medical,patient,records | tasks: strong=medical records; tech=information,statistics; health=medical,patient,records | skill_knowledge: strong=; tech=computer,security; health=medicine | software: strong=electronic medical,database; tech=data,database,software,systems,web; health=clinical,health,healthcare,medical,patient",0.991193,0.969213,0.120417,0.683377,1.2,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,Post-Secondary Certificate,0.0,0.0,low,no major upward education signal,low,no major upward training/experience signal,low,2.95,no,no,no,Cross-category,診所助理; 其他醫院從業人員; 醫院診所掛號員; 櫃檯服務人員; 總機接待人員,醫療助理; 醫院傳送人員(內湖三總); 醫院病房衛材管理人員(內湖三總); 診所行政櫃檯助理(五五就業促進獎勵); 診所行政櫃檯助理; 診所護理及行政人員; (9/16徵才)醫院 早班/小夜班傳送員; 醫事人員 ■無經驗可(此為現場徵才活動職缺),deterministic_keyword_field_weight_v1,1.0,High,no,20,56,33000,38000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:6; 高中:5; 不拘:3; 高職:3; 大學:2; 國中:1,無:16; 1年內:2; 1年以上:1; 3年以上:1,台北市中山區:6; 台北市不限:5; 台北市大安區:3; 台北市內湖區:2; 台北市大同區:1; 台北市中正區:1; 台北市萬華區:1; 台北市北投區:1,Strong,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.33); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.00); Speaking (essential_skill: 3.88); Active Listening (essential_skill: 3.88); Reading Comprehension (essential_skill: 3.75); Critical Thinking (essential_skill: 3.62),"Computers and Electronics (knowledge: target 3.79, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
17,28,29-1141.00,Registered Nurses,Technology / AI,15-1299.04,Penetration Testers,Evaluate network system security by conducting simulated internal and external cyberattacks using adversary tools and techniques. Attempt to breach and exploit critical systems and gain access to sensitive information to assess system security.,deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,56.7,database; information systems,analysis; computer; data; database; information; network; programming; security; software; systems; technology; web,device,software_application; technology_support; core_technology,"description: strong=; tech=information,network,security,systems; health= | tasks: strong=information systems; tech=analysis,computer,data,information,network,security; health=device | skill_knowledge: strong=; tech=analysis,computer,programming,security,systems,technology; health= | software: strong=information systems,database; tech=computer,data,database,information,network,security; health=",0.948236,0.86809,0.468849,0.657181,1.295,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,low,related work experience +0.9 categories,medium,4.35,no,no,no,Distant category,MIS╱網管類人員; 資訊設備管制人員; MIS程式設計師; FAE工程師; 資訊助理員; 助理工程師,MIS工程師_台北; (9/16徵才)應用運維副工程_ IT; M023 系統工程師(資訊科技部); MIS程式設計師-台北市; 資訊處-程式設計師; 技術支援工程師; 資訊MIS工程師助理; MIS-ERP軟體工程師(A),deterministic_keyword_field_weight_v1,1.0,High,no,46,90,35000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:19; 大學:12; 高中:7; 高職:4; 不拘:3; 碩士:1,無:30; 1年以上:10; 2年以上:3; 3年以上:2; 5年以上:1,台北市內湖區:12; 台北市大安區:9; 台北市信義區:7; 台北市北投區:3; 台北市中正區:3; 台北市中山區:3; 台北市松山區:2; 台北市南港區:2,Strong,Critical Thinking (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Active Listening (essential_skill: 3.88); English Language (knowledge: 3.80); Customer and Personal Service (knowledge: 3.75); Writing (essential_skill: 3.75); Judgment and Decision Making (transferable_skill: 3.50); Active Learning (essential_skill: 3.50),"Engineering and Technology (knowledge: target 3.95, RN 1.51); Computers and Electronics (knowledge: target 4.95, RN 2.59); Programming (transferable_skill: target 3.88, RN 1.62); Telecommunications (knowledge: target 4.15, RN 2.21)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
18,29,29-1141.00,Registered Nurses,Technology / AI,15-1255.00,Web and Digital Interface Designers,"Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across browsers or devices. May use web framework applications as well as client-side code and processes. May evaluate web design following web and accessibility standards, and may analyze web use metrics and optimize websites for marketability and search engine ranking. May design and test interfaces that facilitate the human-computer interaction and maximize the usability of digital devices, websites, and software with a focus on aesthetics and design. May create graphics used in websites and manage website content and links.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,56.6,,analysis; computer; data; digital; network; product; programming; software; support; systems; technologies; web,device,software_application; technology_support; core_technology,"title: strong=; tech=digital,web; health= | description: strong=; tech=computer,digital,software,web; health=device | tasks: strong=; tech=data,digital,network,programming,software,systems; health=device | skill_knowledge: strong=; tech=analysis,computer,programming; health= | software: strong=; tech=data,network,programming,software,web; health=",0.948358,0.914112,0.2895,0.608227,1.333333,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,medium,related work experience +2.4 categories,low,1.93,no,no,no,Distant category,MIS程式設計師; 軟體相關專案管理師; 通訊系統工程師; 助理工程師; 其他資訊專業人員; 軟(韌)體設計工程師,MIS-ERP軟體工程師(A); 業務部專案; 助理解決方案架構師 (SA); 資訊處-程式設計師; 【無塵室自動化事業部】軟體技術支援助理工程師(台北)■無經驗可(此為現場徵才活動職缺); 程式語言講師; 網頁工程師; MIS程式設計師-台北市,deterministic_keyword_field_weight_v1,1.0,High,no,55,105,35000,40000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:23; 大學:17; 高職:7; 高中:6; 碩士:1; 不拘:1,無:30; 1年以上:12; 2年以上:8; 3年以上:2; 5年以上:2; 4年以上:1,台北市內湖區:12; 台北市大安區:11; 台北市信義區:9; 台北市中正區:4; 台北市不限:4; 台北市北投區:3; 台北市松山區:3; 台北市中山區:3,Strong,English Language (knowledge: 3.84); Reading Comprehension (essential_skill: 3.75); Customer and Personal Service (knowledge: 3.57); Judgment and Decision Making (transferable_skill: 3.50); Critical Thinking (essential_skill: 3.50); Complex Problem Solving (transferable_skill: 3.38); Active Listening (essential_skill: 3.38); Active Learning (essential_skill: 3.38),,possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
19,2,29-1141.00,Registered Nurses,Technology / AI,15-2051.02,Clinical Data Managers,"Apply knowledge of health care and database management to analyze clinical data, and to identify and report trends.",deterministic_onet_target_domain_keyword_retrieval_v1,core_technology_soc,103.8,clinical data; database; electronic medical; medical records,analysis; computer; data; database; information; product; programming; software; statistical; statistics; support; systems; technologies; technology,clinical; health; healthcare; medical; medicine; patient; records,clinical_health_informatics; health_data; software_application; core_technology,"title: strong=clinical data; tech=data; health=clinical | description: strong=clinical data,database; tech=data,database; health=clinical,health | tasks: strong=clinical data,database; tech=analysis,data,database,information,programming,software; health=clinical,medical | skill_knowledge: strong=; tech=analysis,computer,programming,systems; health=medicine | software: strong=medical records,electronic medical,database; tech=data,database,software,statistics,systems,technologies; health=clinical,health,healthcare,medical,patient,records",0.97776,0.939341,0.2095,0.803651,0.663333,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,5.0,0.0,low,no major upward education signal,low,related work experience +1.5 categories,low,,no,no,no,Distant category,系統分析師; 檔案資料管理人員; 市場調查/市調分析; 統計精算人員; 業務助理; 診所助理,校務研究辦公室 誠徵資料分析專員(碩士級); 檔案管理人員【115 年度公文書發文寄送暨檔案管理業務勞務採購案】; 行政助理＋文編助理; 市場研究分析員; 約聘研究員; 企劃暨精算部-辦事員; 台灣區(台北)業務部助理; 醫療助理,deterministic_keyword_field_weight_v1,0.77,Medium,yes,8,14,35000,45500,monthly_only_excludes_hourly_daily_piece_and_negotiated,大學:3; 碩士:2; 高中:2; 專科:1,無:7; 1年以上:1,台北市中山區:3; 台北市大安區:1; 台北市不限:1; 台北市信義區:1; 台北市松山區:1; 台北市中正區:1,Moderate,English Language (knowledge: 4.10); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 3.88); Reading Comprehension (essential_skill: 3.88); Speaking (essential_skill: 3.88); Writing (essential_skill: 3.75); Customer and Personal Service (knowledge: 3.70); Monitoring (essential_skill: 3.62),,possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,yes
20,5,29-1141.00,Registered Nurses,Technology / AI,17-2031.00,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and biomechanical principles to the design, development, and evaluation of biological, agricultural, and health systems and products, such as artificial organs, prostheses, instrumentation, medical information systems, and health management and care delivery systems.",deterministic_onet_target_domain_keyword_retrieval_v1,explicit_health_technology,90.9,biomedical engineer; database; information systems; medical equipment,analysis; computer; data; database; information; product; programming; software; statistical; systems; technologies; technology; web,biomedical; clinical; device; health; hospital; medical; medicine,software_application; medical_device_technology,"title: strong=biomedical engineer; tech=; health=biomedical,medical | description: strong=information systems; tech=computer,information,systems,product; health=health,medical | tasks: strong=database,medical equipment; tech=computer,data,database,software,statistical,systems; health=biomedical,clinical,device,hospital,medical | skill_knowledge: strong=; tech=analysis,computer,programming,systems,technology; health=medicine | software: strong=database; tech=analysis,computer,data,database,software,systems; health=medical",0.953428,0.824759,0.65076,0.633975,1.393333,Partial skill reuse,no,,,4,4,0,Bachelor's Degree,Bachelor's Degree,52.17,26.08,high,weighted education category +2.8; master's-or-higher share 52.2%,low,no major upward training/experience signal,low,2.39,no,no,no,Distant category,其他產品維修人員; 電機技術人員; FAE工程師; 空調冷凍技術人員; 機構工程師; 電子工程師,連鎖超商餐飲設備維修工程師(無經驗可) (台北總公司); 電機技術人員; 技術維修工程師; 商用餐飲設備專案工程師 (台北總公司); 【台北大同】維護人員; 技術支援工程師; 技術支援工程師 Supporting Engineer(五五就業促進); 空調機電維護工程師,deterministic_keyword_field_weight_v1,0.854,Medium,yes,61,133,35000,45000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:17; 高中:16; 大學:12; 高職:9; 不拘:6; 國中:1,無:42; 1年以上:9; 2年以上:6; 5年以上:2; 4年以上:1; 3年以上:1,台北市內湖區:16; 台北市信義區:7; 台北市大安區:7; 台北市中山區:6; 台北市不限:6; 台北市大同區:4; 台北市松山區:4; 台北市南港區:4,Moderate,Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Reading Comprehension (essential_skill: 3.88); Critical Thinking (essential_skill: 3.88); Judgment and Decision Making (transferable_skill: 3.88); English Language (knowledge: 3.78); Writing (essential_skill: 3.75); Monitoring (essential_skill: 3.75),"Engineering and Technology (knowledge: target 4.57, RN 1.51); Design (knowledge: target 3.95, RN 1.29); Physics (knowledge: target 3.95, RN 1.60); Computers and Electronics (knowledge: target 4.48, RN 2.59); Operations Analysis (transferable_skill: target 3.75, RN 2.00)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff 0,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,yes
21,6,29-1141.00,Registered Nurses,Technology / AI,29-2072.00,Medical Records Specialists,"Compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the healthcare system. Classify medical and healthcare concepts, including diagnosis, procedures, medical services, and equipment, into the healthcare industry's numerical coding system. Includes medical coders.",deterministic_onet_target_domain_keyword_retrieval_v1,explicit_health_technology,87.8,database; electronic medical; medical records,analysis; computer; data; database; digital; information; product; security; software; statistics; systems; technologies,clinical; health; healthcare; hospital; medical; medicine; patient; records,clinical_health_informatics; health_data; software_application,"title: strong=medical records; tech=; health=medical,records | description: strong=medical records; tech=; health=health,healthcare,hospital,medical,patient,records | tasks: strong=medical records; tech=computer,data,information,security,software,systems; health=health,medical,patient,records | skill_knowledge: strong=; tech=computer; health= | software: strong=electronic medical,database; tech=analysis,computer,data,database,digital,information; health=clinical,health,healthcare,medical,medicine,patient",0.974376,0.970946,0.111333,0.735795,0.93,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,low,no major upward training/experience signal,low,2.45,yes,no,no,Adjacent category,診所助理; 系統分析師; 其他醫院從業人員; 資訊助理員; 軟(韌)體設計工程師; 行政助理,醫療助理; 校務研究辦公室 誠徵資料分析專員(碩士級); 醫院傳送人員(內湖三總); 醫院病房衛材管理人員(內湖三總); 資訊系統人員; (9/16徵才)醫院 早班/小夜班傳送員; AI系統設計師（AI System Designer）; 醫美櫃台行政人員,deterministic_keyword_field_weight_v1,0.606,Medium,yes,10,24,33725,38280,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:5; 不拘:3; 碩士:1; 高中:1,無:8; 3年以上:1; 2年以上:1,台北市大安區:4; 台北市內湖區:4; 台北市中山區:1; 台北市松山區:1,Moderate,English Language (knowledge: 4.06); Customer and Personal Service (knowledge: 4.00); Reading Comprehension (essential_skill: 3.62); Administrative (knowledge: 3.55); Critical Thinking (essential_skill: 3.38); Administration and Management (knowledge: 3.29); Active Listening (essential_skill: 3.25); Speaking (essential_skill: 3.12),"Computers and Electronics (knowledge: target 3.52, RN 2.59)",possible_downward_or_low_value_mobility:lower_salary; job_zone_diff -1,review,Bridge candidate,Target-domain candidate that needs further validation; skill reuse may be partial or require major reskilling.,no
