v2_rank,source_occupation_code,source_occupation_name,target_occupation_code,target_occupation_name,candidate_pool_source,v1_skill_similarity_rank,skill_similarity,transferable_skill_coverage,target_skill_gap,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,target_master_plus_share,target_doctoral_professional_share,education_barrier,education_barrier_notes,source_related_work_experience,target_related_work_experience,target_on_the_job_training,training_experience_barrier,training_experience_barrier_notes,credential_barrier,professional_certification_importance,apprenticeship_importance,shared_top_skills,missing_skills,feasibility_flag,feasibility_level,feasibility_notes
11,29-1141.00,Registered Nurses,29-1141.04,Clinical Nurse Specialists,onet_related_occupation; skill_similarity_top20,11,0.991224,0.920561,0.300937,yes,Primary-Short,4,4,5,1,Bachelor's Degree,Master's Degree,99.99,9.52,high,weighted education category +3.2; master's-or-higher share 100.0%; professional certification importance 4.86,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Over 1 month, up to and including 3 months",low,related work experience +1.4 categories,high,4.86,3.52,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.29); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Education and Training (knowledge: target 4.43, RN 3.20)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible."
12,29-1141.00,Registered Nurses,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",focus_check; skill_similarity_top20,14,0.99091,0.921485,0.296806,no,,,4,5,1,Bachelor's Degree,Master's Degree,94.95,42.84,high,weighted education category +4.1; master's-or-higher share 95.0%; doctoral/professional/postdoctoral share 42.8%,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 1 year, up to and including 2 years",medium,related work experience +1.6 categories,low,3.64,2.0,Psychology (knowledge: 4.49); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.94); Judgment and Decision Making (transferable_skill: 3.88); Reading Comprehension (essential_skill: 3.88),"Education and Training (knowledge: target 4.54, RN 3.20); Biology (knowledge: target 4.12, RN 3.02); Computers and Electronics (knowledge: target 3.60, RN 2.59); Instructing (transferable_skill: target 4.25, RN 3.25)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible."
13,29-1141.00,Registered Nurses,29-1071.00,Physician Assistants,onet_related_occupation; skill_similarity_top20,20,0.989846,0.915837,0.326556,yes,Primary-Long,9,4,5,1,Bachelor's Degree,Master's Degree,94.59,13.51,high,weighted education category +3.0; master's-or-higher share 94.6%; professional certification importance 4.76,"Over 1 year, up to and including 2 years",None,"Over 1 month, up to and including 3 months",low,no major upward training/experience signal,high,4.76,2.89,Psychology (knowledge: 4.57); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Customer and Personal Service (knowledge: 4.16); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00),"Biology (knowledge: target 4.81, RN 3.02); Therapy and Counseling (knowledge: target 4.50, RN 3.43); Computers and Electronics (knowledge: target 3.54, RN 2.59)",review,Bridge candidate,O*NET related support (Primary-Long) with manageable directional skill gap.
14,29-1141.00,Registered Nurses,29-2043.00,Paramedics,onet_related_occupation,,0.987565,0.941972,0.210644,yes,Supplemental,11,4,3,-1,Bachelor's Degree,unknown,,,unknown,no O*NET required-level-of-education distribution available,"Over 1 year, up to and including 2 years",None,"Over 6 months, up to and including 1 year",low,no major upward training/experience signal,high,4.68,3.16,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.16); Customer and Personal Service (knowledge: 3.90); Service Orientation (transferable_skill: 3.88); Coordination (transferable_skill: 3.75); Social Perceptiveness (transferable_skill: 3.75); Critical Thinking (essential_skill: 3.75); Active Listening (essential_skill: 3.62),,review,Bridge candidate,O*NET related support (Supplemental) with manageable directional skill gap.
15,29-1141.00,Registered Nurses,29-1141.02,Advanced Practice Psychiatric Nurses,onet_related_occupation,,0.986117,0.893658,0.406098,yes,Primary-Long,7,4,5,1,Bachelor's Degree,Master's Degree,100.01,13.05,high,weighted education category +3.2; master's-or-higher share 100.0%; professional certification importance 4.91,"Over 1 year, up to and including 2 years","Over 1 year, up to and including 2 years","Over 6 months, up to and including 1 year",low,no major upward training/experience signal,high,4.91,3.18,Psychology (knowledge: 4.58); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Therapy and Counseling (knowledge: target 4.74, RN 3.43); Biology (knowledge: target 4.26, RN 3.02); Sociology and Anthropology (knowledge: target 4.09, RN 2.96)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible."
16,29-1141.00,Registered Nurses,29-1151.00,Nurse Anesthetists,onet_related_occupation,,0.984088,0.896406,0.390269,yes,Primary-Long,8,4,5,1,Bachelor's Degree,Doctoral Degree,100.0,59.26,high,weighted education category +4.6; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 59.3%; doctoral/professional occupation pattern; professional certification importance 4.93,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Anything beyond short demonstration, up to and including 1 month",low,no major upward training/experience signal,high,4.93,3.04,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.04); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Physics (knowledge: target 4.00, RN 1.60); Chemistry (knowledge: target 4.33, RN 2.60); Biology (knowledge: target 4.63, RN 3.02)",review,Bridge candidate,"Same nursing domain, but additional education or teaching/advanced-practice preparation is visible."
17,29-1141.00,Registered Nurses,29-1229.04,Physical Medicine and Rehabilitation Physicians,focus_check; skill_similarity_top20,8,0.992374,0.939361,0.230106,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,99.19,99.19,high,weighted education category +6.2; master's-or-higher share 99.2%; doctoral/professional/postdoctoral share 99.2%; doctoral/professional occupation pattern; professional certification importance 4.92,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 2 years, up to and including 4 years",high,related work experience +1.1 categories; apprenticeship importance 4.33,high,4.92,4.33,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.12); Psychology (knowledge: 4.04); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Biology (knowledge: target 3.88, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
18,29-1141.00,Registered Nurses,29-1229.06,Sports Medicine Physicians,focus_check; skill_similarity_top20,10,0.991456,0.909889,0.353927,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,100.0,100.0,high,weighted education category +6.4; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.84,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years",None or short demonstration,medium,related work experience +1.2 categories; apprenticeship importance 4.19,high,4.84,4.19,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.06); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88),"Biology (knowledge: target 4.31, RN 3.02); Education and Training (knowledge: target 4.06, RN 3.20); Systems Evaluation (transferable_skill: target 3.75, RN 3.00)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
19,29-1141.00,Registered Nurses,29-1214.00,Emergency Medicine Physicians,focus_check; onet_related_occupation; skill_similarity_top20,13,0.99109,0.90815,0.359125,yes,Supplemental,12,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.5; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.97,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Anything beyond short demonstration, up to and including 1 month",high,related work experience +1.4 categories; apprenticeship importance 4.45,high,4.97,4.45,Psychology (knowledge: 4.43); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Coordination (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00),"Biology (knowledge: target 4.45, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
20,29-1141.00,Registered Nurses,29-1241.00,"Ophthalmologists, Except Pediatric",skill_similarity_top20,15,0.990782,0.926464,0.273114,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,76.12,76.12,high,weighted education category +4.8; master's-or-higher share 76.1%; doctoral/professional/postdoctoral share 76.1%; doctoral/professional occupation pattern; professional certification importance 4.67,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Over 1 year, up to and including 2 years",high,related work experience +2.9 categories; apprenticeship importance 4.36,high,4.67,4.36,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Customer and Personal Service (knowledge: 4.08); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),,exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
21,29-1141.00,Registered Nurses,29-1229.02,Hospitalists,onet_related_occupation; skill_similarity_top20,16,0.990779,0.925548,0.283278,yes,Supplemental,20,4,5,1,Bachelor's Degree,Post-Doctoral Training,96.0,96.0,high,weighted education category +6.1; master's-or-higher share 96.0%; doctoral/professional/postdoctoral share 96.0%; doctoral/professional occupation pattern,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 1 month, up to and including 3 months",low,no major upward training/experience signal,high,4.0,3.68,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.29); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Service Orientation (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.62, RN 3.02); Education and Training (knowledge: target 4.00, RN 3.20)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
22,29-1141.00,Registered Nurses,29-1123.00,Physical Therapists,focus_check; skill_similarity_top20,17,0.990443,0.946822,0.198864,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,85.43,47.13,high,weighted education category +3.9; master's-or-higher share 85.4%; doctoral/professional/postdoctoral share 47.1%; doctoral/professional occupation pattern; professional certification importance 4.27,"Over 1 year, up to and including 2 years",None,"Anything beyond short demonstration, up to and including 1 month",low,no major upward training/experience signal,medium,4.27,3.73,Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.11); Service Orientation (transferable_skill: 4.00); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00),,exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
23,29-1141.00,Registered Nurses,19-3039.02,Neuropsychologists,skill_similarity_top20,18,0.990046,0.914329,0.327394,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.7; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.56,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years",None or short demonstration,low,no major upward training/experience signal,high,4.56,3.68,Psychology (knowledge: 4.58); English Language (knowledge: 4.18); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88); Judgment and Decision Making (transferable_skill: 3.88),"Therapy and Counseling (knowledge: target 4.56, RN 3.43); Education and Training (knowledge: target 4.12, RN 3.20)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
24,29-1141.00,Registered Nurses,29-1217.00,Neurologists,focus_check; skill_similarity_top20,19,0.989885,0.915378,0.322458,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,97.61,92.84,high,weighted education category +6.1; master's-or-higher share 97.6%; doctoral/professional/postdoctoral share 92.8%; doctoral/professional occupation pattern,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years",None or short demonstration,medium,related work experience +2.2 categories,high,,,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Psychology (knowledge: 4.14); Social Perceptiveness (transferable_skill: 4.12); Speaking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Computers and Electronics (knowledge: target 3.73, RN 2.59); Biology (knowledge: target 4.08, RN 3.02); Chemistry (knowledge: target 3.61, RN 2.60); Science (essential_skill: target 3.75, RN 2.88)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
25,29-1141.00,Registered Nurses,29-1218.00,Obstetricians and Gynecologists,onet_related_occupation,,0.989742,0.92238,0.298463,yes,Supplemental,17,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.6; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.96,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Anything beyond short demonstration, up to and including 1 month",high,related work experience +2.8 categories; apprenticeship importance 4.52,high,4.96,4.52,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.22); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.88); Judgment and Decision Making (transferable_skill: 3.88),"Biology (knowledge: target 4.72, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
26,29-1141.00,Registered Nurses,29-1216.00,General Internal Medicine Physicians,focus_check; onet_related_occupation,,0.989742,0.911353,0.335741,yes,Supplemental,18,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.4; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.69,"Over 1 year, up to and including 2 years","Over 4 years, up to and including 6 years","Anything beyond short demonstration, up to and including 1 month",high,related work experience +1.2 categories; apprenticeship importance 4.31,high,4.69,4.31,Medicine and Dentistry (knowledge: 4.36); Psychology (knowledge: 4.34); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Active Listening (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Customer and Personal Service (knowledge: 3.91),"Biology (knowledge: target 4.53, RN 3.02); Computers and Electronics (knowledge: target 3.91, RN 2.59)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
27,29-1141.00,Registered Nurses,29-1299.01,Naturopathic Physicians,focus_check,,0.989172,0.920157,0.304878,no,,,4,5,1,Bachelor's Degree,Doctoral Degree,100.0,100.0,high,weighted education category +5.9; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.48,"Over 1 year, up to and including 2 years",None,None or short demonstration,low,no major upward training/experience signal,high,4.48,2.84,Psychology (knowledge: 4.58); Customer and Personal Service (knowledge: 4.40); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00),"Biology (knowledge: target 4.76, RN 3.02)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
28,29-1141.00,Registered Nurses,29-1215.00,Family Medicine Physicians,focus_check; onet_related_occupation,,0.98803,0.906522,0.361616,yes,Supplemental,13,4,5,1,Bachelor's Degree,Doctoral Degree,97.43,87.95,high,weighted education category +5.7; master's-or-higher share 97.4%; doctoral/professional/postdoctoral share 88.0%; doctoral/professional occupation pattern; professional certification importance 4.98,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years","Over 1 month, up to and including 3 months",medium,apprenticeship importance 4.25,high,4.98,4.25,Psychology (knowledge: 4.49); Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88); Service Orientation (transferable_skill: 3.88),"Biology (knowledge: target 4.46, RN 3.02); Therapy and Counseling (knowledge: target 4.56, RN 3.43); Science (essential_skill: target 3.88, RN 2.88); Time Management (transferable_skill: target 4.00, RN 3.12)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
29,29-1141.00,Registered Nurses,29-1229.05,Preventive Medicine Physicians,focus_check,,0.985361,0.879491,0.461111,no,,,4,5,1,Bachelor's Degree,Post-Doctoral Training,100.0,100.0,high,weighted education category +6.6; master's-or-higher share 100.0%; doctoral/professional/postdoctoral share 100.0%; doctoral/professional occupation pattern; professional certification importance 4.95,"Over 1 year, up to and including 2 years","Over 2 years, up to and including 4 years",None or short demonstration,low,apprenticeship importance 4.05,high,4.95,4.05,Medicine and Dentistry (knowledge: 4.36); English Language (knowledge: 4.18); Speaking (essential_skill: 4.00); Coordination (transferable_skill: 4.00); Social Perceptiveness (transferable_skill: 4.00); Critical Thinking (essential_skill: 4.00); Active Listening (essential_skill: 4.00); Judgment and Decision Making (transferable_skill: 3.88),"Law and Government (knowledge: target 3.83, RN 2.40); Biology (knowledge: target 4.42, RN 3.02); Management of Personnel Resources (transferable_skill: target 3.75, RN 2.62)",exclude,Infeasible / high-barrier,"Skill-similar, but education/licensing or preparation barrier is too large for short-term transition screening."
